ID,img_path,Description,Question,A,B,C,D,answer
TRAIN_027,./dataset/generated/images/scene_1030.jpg,"Two women are standing on a deck, smiling and taking selfies with their cell phones. They are wearing white shirts and are in front of a city skyline.",What are the women doing in the image?,Taking selfies,Smiling,Standing on a deck,All of the above,A
TRAIN_028,./dataset/generated/images/scene_1031.jpg,"A group of people are sitting around a table, smiling and enjoying a meal together. They are holding up their cell phones, possibly taking pictures or sharing something on their devices.",What is the group of people doing in the image?,They are eating and smiling at the camera.,They are taking pictures with their cell phones.,They are sharing something on their cell phones.,They are playing a game on their cell phones.,B
TRAIN_029,./dataset/generated/images/scene_1032.jpg,"A beautiful mountain scene with a sunny day, green trees, and a river. The sun is shining brightly, and the mountains are covered in snow.",What is the main focus of the image?,The sun,The river,The mountains,The trees,C
TRAIN_030,./dataset/generated/images/scene_1033.jpg,"A busy city street with many people walking around, including a man in a yellow shirt. The street is filled with tall buildings and a large tree.",What is the main color of the street?,Yellow,Red,Green,Blue,A
TRAIN_031,./dataset/generated/images/scene_1034.jpg,A group of deer are standing in a grassy field near a waterfall.,What is the primary activity of the deer in the image?,Standing,Walking,Drinking,Swimming,A
TRAIN_032,./dataset/generated/images/scene_1035.jpg,"A group of people, including children, are enjoying a day at the beach. They are playing in the water and under the shade of colorful umbrellas. Some of them are walking along the shore.",What color are the umbrellas in the image?,Pink,Blue,Yellow,Green,C
TRAIN_033,./dataset/generated/images/scene_1036.jpg,"A group of people, including a woman and two children, are sitting on a bench in front of a beautiful blue pool. They are enjoying the view of the mountains in the background.",What is the main activity of the people in the image?,Swimming,Sitting on a bench,Hiking,All of the above,B
TRAIN_034,./dataset/generated/images/scene_1037.jpg,"A group of young women sitting on a bench, smiling and enjoying each other's company. They are wearing sunglasses and some of them are holding cell phones.",What is the main activity of the group of women in the image?,Eating,Talking,Smiling,Texting,B
TRAIN_035,./dataset/generated/images/scene_1038.jpg,"A family is sitting around a dining table, enjoying a meal together. They are eating salad and other foods, and there are multiple plates of food in front of them.",What is the main focus of the image?,The family's smiles,The food on the table,The dining table,The family's interactions,B
TRAIN_036,./dataset/generated/images/scene_1039.jpg,A woman is sitting at a desk with a cup of coffee in front of her. She is smiling and appears to be enjoying her time. There are several books and a potted plant nearby.,What is the woman holding in her hand?,A cup of coffee,A book,A pen,A potted plant,A
TRAIN_037,./dataset/generated/images/scene_104.jpg,A beautiful field of flowers with a path leading through it. The flowers are in various colors and the field is lush and green.,What is the main color of the flowers in the field?,Pink,White,Red,Yellow,A
TRAIN_038,./dataset/generated/images/scene_1040.jpg,"A group of people are sitting in the stands, watching a game. They are holding up signs and cheering for their favorite team.",What is the main activity in the image?,Watching a game,Playing a game,Cheering for a team,Holding up signs,A
TRAIN_039,./dataset/generated/images/scene_1041.jpg,"A family of five, consisting of a man, a woman, and three children, are walking down a road. They are all smiling and appear to be enjoying their time together.",What is the family doing in the image?,Walking down the road,Smiling and enjoying their time together,Posing for a picture,All of the above,D
TRAIN_040,./dataset/generated/images/scene_1042.jpg,"A woman is sitting on a chair with a brown dog on her lap. The dog is resting its head on her chest. There are two other dogs in the scene, one on the woman's right side and another on her left side. The woman is smiling and appears to be enjoying the company of the dogs.",What is the woman holding in her lap?,A cat,A dog,A bird,A rabbit,B
TRAIN_041,./dataset/generated/images/scene_1043.jpg,"A person is riding in the back of a car, wearing a hat and a backpack. They are looking at the road ahead.",What is the person wearing?,Hat and backpack,Jacket and jeans,Shirt and shorts,Hat and jeans,A
TRAIN_042,./dataset/generated/images/scene_1044.jpg,"Four people are walking on a trail in the woods, each carrying a backpack. They are hiking up a hill, and the sun is shining on them.",What is the group of people doing in the image?,Hiking up a hill,Walking on a trail,Taking a break,Sitting on a bench,A
TRAIN_043,./dataset/generated/images/scene_1045.jpg,"A man is sitting at an outdoor cafe, eating a sandwich. He is wearing glasses and a white shirt. There are other people sitting around him, and a potted plant is nearby.",What is the man wearing?,Shirt and tie,Glasses,Sandals,Hat,B
TRAIN_044,./dataset/generated/images/scene_1046.jpg,"A group of people are camping in a field at night. They have set up tents and are sitting around a fire. The sky is filled with stars, and the atmosphere is peaceful.",What is the main activity of the people in the image?,Sitting around a fire,Camping in tents,Stargazing,Hiking,B
TRAIN_045,./dataset/generated/images/scene_1047.jpg,"A beautiful sunset with a field of green grass and a pink flower in the foreground. The sun is setting behind the field, creating a serene atmosphere.",What is the main focus of the image?,The pink flower,The green grass,The sunset,The field,A
TRAIN_046,./dataset/generated/images/scene_1048.jpg,A person is standing on a cliff overlooking a valley. They are holding a camera in their hand.,What is the person holding in their hand?,A cell phone,A camera,A book,A remote control,B
TRAIN_047,./dataset/generated/images/scene_1049.jpg,"A person is holding a strand of hair in their hand, and the sun is setting in the background. The water appears to be blue and rippling.",What is the person holding in their hand?,A strand of hair,A fishing rod,A kite,A surfboard,A
TRAIN_048,./dataset/generated/images/scene_105.jpg,"The image is a collage of various cityscapes, including a large city with skyscrapers, a river, and a bridge. There are also pictures of a city with a large building, a city with a large building and a bridge, and a city with a large building and a river.",What is the main subject of the image?,"A large city with skyscrapers, a river, and a bridge",A city with a large building and a bridge,A city with a large building and a river,A city with a large building,A
TRAIN_049,./dataset/generated/images/scene_1050.jpg,"A person is holding a cell phone with a picture of a mountain on the screen. The sun is shining on the mountain, creating a beautiful scene.",What is the person holding in their hand?,A camera,A cell phone,A book,A laptop,B
TRAIN_050,./dataset/generated/images/scene_1051.jpg,"The image features a beautiful sunset over the ocean. The sun is setting behind the ocean, creating a stunning view. The sky is filled with warm colors, and the ocean is calm.",What is the main subject of the image?,The ocean,The sun,The sky,The sunset,D
TRAIN_051,./dataset/generated/images/scene_1052.jpg,"A window with a tree outside, and a bunch of yellow flowers in front of it.",What is the color of the flowers in front of the window?,Yellow,Pink,Green,White,A
TRAIN_052,./dataset/generated/images/scene_1053.jpg,A group of deer standing in a grassy field.,What is the main subject of the image?,A single deer,A group of deer,A forest,A cityscape,B
TRAIN_053,./dataset/generated/images/scene_1054.jpg,"A porch swing with two pillows on it, one orange and one white, is situated on a porch overlooking a field. The sun is setting in the background.",What color are the pillows on the swing?,White,Orange,White and orange,White and blue,B
TRAIN_054,./dataset/generated/images/scene_1055.jpg,A group of deer are standing in a grassy field. They are looking at the camera and appear to be walking towards it.,What is the primary focus of the image?,The deer's ears,The deer's eyes,The deer's mouth,The deer's legs,B
TRAIN_055,./dataset/generated/images/scene_1056.jpg,A group of people walking down a rain-soaked street in a city. They are holding umbrellas to shield themselves from the rain.,What is the weather in the image?,Sunny,Rainy,Snowy,Clear,B
TRAIN_056,./dataset/generated/images/scene_1057.jpg,"A view of the Eiffel Tower from below, with a tree in the foreground.",What is the main subject of the image?,The Eiffel Tower,A tree,A building,A person,A
TRAIN_057,./dataset/generated/images/scene_1058.jpg,"The image features a snowy mountain road with a car driving down it. The road is surrounded by snow-covered mountains, and there are trees nearby. The car is the only visible vehicle on the road.",What is the main focus of the image?,The car driving down the road,The snow-covered mountains,The trees surrounding the road,The road itself,A
TRAIN_058,./dataset/generated/images/scene_1059.jpg,A city with red buildings and green trees. The buildings are made of adobe and have a unique design. The city is located in a desert area.,What is the primary color of the buildings in the image?,Red,Green,Blue,Yellow,A
TRAIN_059,./dataset/generated/images/scene_106.jpg,"A two-lane road is winding through a mountainous area with trees on the sides. There are two cars on the road, one in the foreground and another further back. The road is surrounded by a forest, and there is a sign on the side of the road.",What is the main feature of the image?,A two-lane road,Trees on the sides,Two cars on the road,A sign on the side of the road,A
TRAIN_060,./dataset/generated/images/scene_1060.jpg,"A busy city street at night with many people walking down the sidewalk. The street is illuminated by neon lights and colorful lights, creating a vibrant atmosphere.",What is the main source of light in the image?,Neon lights,Colorful lights,Streetlights,Car headlights,A
TRAIN_061,./dataset/generated/images/scene_1061.jpg,A narrow canyon with a stream of water flowing through it. The canyon is surrounded by red rock walls and the water appears to be green.,What color is the water in the canyon?,Green,Blue,Yellow,Red,A
TRAIN_062,./dataset/generated/images/scene_1062.jpg,A woman is taking a picture of flowers with her cell phone. She is wearing a pink shirt and pink pants.,What color are the woman's pants?,Black,Blue,Pink,White,C
TRAIN_063,./dataset/generated/images/scene_1063.jpg,"A woman is taking a selfie in a busy city street. She is smiling and holding a cell phone. There are several people around her, some walking and others standing.",What is the woman holding in her hand?,A cell phone,A book,A cup,A remote control,A
TRAIN_064,./dataset/generated/images/scene_1064.jpg,"A man is standing in front of a waterfall, smiling and looking at the camera. He is wearing a backpack and has his hand on his neck.",What is the man wearing?,Shorts,Shirt,Backpack,Hat,C
TRAIN_065,./dataset/generated/images/scene_1065.jpg,"A woman is sitting at a table in a restaurant, smiling and looking at her cell phone. She is surrounded by other people and various items such as cups, a potted plant, and a vase.",What is the woman holding in her hand?,A book,A cell phone,A cup,A vase,B
TRAIN_066,./dataset/generated/images/scene_1066.jpg,"A woman is standing in a field, smiling and holding a cell phone. She is wearing a green jacket and appears to be enjoying her time outdoors.",What is the woman holding in her hand?,A camera,A cell phone,A book,A remote control,B
TRAIN_067,./dataset/generated/images/scene_1067.jpg,"A woman is standing in a garden, smiling and holding a cell phone. She is wearing a blue shirt and surrounded by flowers.",What is the woman holding in her hand?,A book,A cell phone,A camera,A laptop,B
TRAIN_068,./dataset/generated/images/scene_1068.jpg,"A group of people are standing on a city street, some of them are smiling and laughing. They are surrounded by tall buildings and a busy city atmosphere.",What is the main activity of the people in the image?,Walking,Talking,Laughing,Standing,A
TRAIN_069,./dataset/generated/images/scene_1069.jpg,A waterfall in a forest with moss growing on the rocks.,What is the main feature of the image?,A waterfall,A forest,Moss growing on rocks,A river,A
TRAIN_070,./dataset/generated/images/scene_107.jpg,"A busy city street with many people walking down the sidewalk. There are trees and buildings lining the street, and a large number of people are walking in different directions.",What is the main activity in the image?,People walking on the sidewalk,People walking on the street,People walking on the sidewalk and street,People walking on the sidewalk and street,A
TRAIN_071,./dataset/generated/images/scene_1070.jpg,"A woman is sitting at a table in a cafe, smiling and holding a cup of coffee. She is surrounded by other people and various items such as cups, bottles, and a book.",What is the woman holding in her hand?,A cup of coffee,A book,A cell phone,A bottle,A
TRAIN_072,./dataset/generated/images/scene_1071.jpg,"A man is standing on a rocky river bank, wearing a backpack and looking at the water. The river is surrounded by trees and mountains.",What is the man wearing?,Shorts,Jacket,Hat,Shirt,B
TRAIN_073,./dataset/generated/images/scene_1072.jpg,"The image shows a beach with a person standing on the sand. The person is facing the ocean, and there is a beautiful sunset in the background. The beach is surrounded by water, and the waves are crashing on the shore.",What is the person standing on?,Sand,Rocks,Grass,Water,A
TRAIN_074,./dataset/generated/images/scene_1073.jpg,"A woman is standing in a garden, looking at her cell phone. She is surrounded by flowers and greenery.",What is the woman holding in her hand?,A cell phone,A handbag,A camera,A book,A
TRAIN_075,./dataset/generated/images/scene_1074.jpg,"A man and a young girl are riding in a red golf cart, with the man driving and the girl sitting behind him. They are on a dirt road, and there are trees in the background.",What is the man driving?,Car,Golf cart,Tractor,Truck,B
TRAIN_076,./dataset/generated/images/scene_1075.jpg,"Two women are standing in front of a painting of a woman in a red shirt. They are looking at the painting, which is hanging on a wall.",What is the painting of?,A man,A woman,A flower,A tree,B
TRAIN_077,./dataset/generated/images/scene_1076.jpg,A woman is standing in a large room with pillars and arches. She is holding a cup and looking at the camera.,What is the woman holding in her hand?,A cup,A cell phone,A book,A remote control,A
TRAIN_078,./dataset/generated/images/scene_1077.jpg,"A group of people walking in a large building, some of them carrying handbags.",What is the main activity in the image?,People walking in a large building,People walking in a large building with handbags,People walking in a large building with handbags and carrying umbrellas,People walking in a large building with handbags and carrying umbrellas,A
TRAIN_079,./dataset/generated/images/scene_1078.jpg,A woman is standing on a bridge in front of a castle. She is wearing a dress and holding a handbag. The castle is surrounded by a moat.,What is the woman wearing?,Dress,Skirt,Suit,T-shirt,A
TRAIN_080,./dataset/generated/images/scene_1079.jpg,A busy city street with people walking down the sidewalk.,What is the main activity in the image?,People walking on the sidewalk,People standing on the sidewalk,People walking on the street,People standing on the street,A
TRAIN_081,./dataset/generated/images/scene_108.jpg,A busy airport terminal with many people walking around and carrying luggage.,What is the main activity in the image?,People walking around,People sitting down,People standing still,People waiting in line,A
TRAIN_082,./dataset/generated/images/scene_1080.jpg,"A car is driving down a rain-soaked road, with a green field and trees in the background.",What is the color of the car driving down the road?,Black,Blue,Red,White,A
TRAIN_083,./dataset/generated/images/scene_1081.jpg,A large group of people walking through a building with a glass ceiling. They are carrying various items such as handbags and backpacks.,What is the main feature of the building?,A large glass ceiling,A large glass wall,A large glass door,A large glass window,A
TRAIN_084,./dataset/generated/images/scene_1082.jpg,"An older man and woman are walking down a street, holding coffee cups. They are wearing coats and hats, and the woman is carrying a handbag.",What is the man wearing?,Coat,Hat,Jacket,Shirt,A
TRAIN_085,./dataset/generated/images/scene_1083.jpg,A person is holding a cell phone and taking a picture of a river. The image is in black and white.,What is the person holding in their hand?,A camera,A cell phone,A book,A remote control,B
TRAIN_086,./dataset/generated/images/scene_1084.jpg,"A group of people are sitting around a table, enjoying a meal together. They are smiling and having a good time. There are cups, bottles, and bowls on the table, along with a fork.",What is the group of people doing in the image?,Eating,Drinking,Smiling,All of the above,D
TRAIN_087,./dataset/generated/images/scene_1085.jpg,A group of young people posing for a picture in front of a building.,What is the main subject of the image?,A building,A group of people,A building with columns,A building with a clock tower,B
TRAIN_088,./dataset/generated/images/scene_1086.jpg,"A man and a woman are walking together in a park, holding hands. They are smiling and enjoying their time together.",What is the man and woman holding in their hands?,Hands,Hands and a bag,A bag,A bag and a cell phone,B
TRAIN_089,./dataset/generated/images/scene_1087.jpg,"A group of people sitting around a fire, drinking beer and enjoying each other's company.",What is the main activity in the image?,Camping,Drinking beer,Sitting around a fire,Hiking,C
TRAIN_090,./dataset/generated/images/scene_1088.jpg,Four women are walking together on a trail in the woods. They are carrying backpacks and walking sticks.,What is the group of women carrying?,Backpacks and walking sticks,Nothing,Umbrellas,Food,A
TRAIN_091,./dataset/generated/images/scene_1089.jpg,"A group of people are standing around each other, some of them holding basketballs. They are all smiling and seem to be enjoying their time together.",What is the main activity in the image?,Playing basketball,Socializing with friends,Watching a basketball game,All of the above,D
TRAIN_092,./dataset/generated/images/scene_109.jpg,"A beautiful beach scene with people enjoying the sun and water. There are several umbrellas providing shade, and a few chairs are placed on the sand. The beach is surrounded by palm trees, and the ocean is visible in the background.",What is the main activity taking place on the beach?,Swimming,Sunbathing,Building sandcastles,Surfing,B
TRAIN_093,./dataset/generated/images/scene_1090.jpg,"A group of people are standing in a room, smiling and enjoying each other's company. They are holding plates with food on them, and there are cups and a handbag in the scene.",What is the main activity in the image?,Eating,Drinking,Socializing,All of the above,D
TRAIN_094,./dataset/generated/images/scene_1091.jpg,"A group of people sitting around a fire pit, smiling and enjoying each other's company.",What is the main activity in the image?,Camping,Cooking,Socializing,Hiking,C
TRAIN_095,./dataset/generated/images/scene_1092.jpg,A group of people with backpacks are walking through a forest. They are wearing green shirts and are carrying various types of backpacks.,What color are the people's shirts?,Red,Green,Blue,Yellow,B
TRAIN_096,./dataset/generated/images/scene_1093.jpg,A beautiful sunset over a lush green valley with a rainbow of colors. The valley is filled with trees and mountains in the background.,What is the main color of the sunset in the image?,Red,Green,Blue,Yellow,A
TRAIN_097,./dataset/generated/images/scene_1094.jpg,"A small bird with blue and yellow feathers is perched on a tree branch. The bird appears to be looking upwards, possibly observing its surroundings or searching for food.",What color are the bird's feathers?,Blue and yellow,Green and red,Black and white,Gray and brown,A
TRAIN_098,./dataset/generated/images/scene_1095.jpg,"A flock of birds is flying in the sky, with some birds flying near a building and others flying over a bridge.",What is the main activity in the image?,Birds flying in the sky,Birds flying near a building,Birds flying over a bridge,Birds sitting on a wire,A
TRAIN_099,./dataset/generated/images/scene_1096.jpg,"Two dolphins are swimming in the ocean, with one dolphin on the left and the other on the right. They are both facing the camera, and their mouths are open.",What is the color of the dolphins' mouths?,Black,White,Pink,Gray,C
TRAIN_100,./dataset/generated/images/scene_1097.jpg,A person is holding a cell phone with a picture of a woman on it. The woman is holding a baby.,What is the main focus of the image?,A person holding a cell phone,A woman holding a baby,A cell phone with a picture on it,A baby,C
TRAIN_101,./dataset/generated/images/scene_1098.jpg,"The image features a close-up of a green plant with a mossy texture. The plant has a fuzzy appearance, and there are four different views of the plant.",What is the main subject of the image?,A fuzzy green plant,A mossy plant,A close-up of a plant,A fuzzy green mossy plant,A
TRAIN_102,./dataset/generated/images/scene_1099.jpg,"A bunch of green letters are scattered on a table. Some of the letters are missing, and there is a pin in the middle of the letters.",What is the primary purpose of the letters on the table?,To be used for writing,To be used for decoration,To be used for a game,To be used for a puzzle,D
TRAIN_103,./dataset/generated/images/scene_11.jpg,A person is holding a pink flower in their hand. The flower is in a garden setting with greenery around it.,What is the person holding in their hand?,A pink flower,A green leaf,A blue flower,A yellow leaf,A
TRAIN_104,./dataset/generated/images/scene_110.jpg,"A woman is selling fruits and vegetables at a market. There are many people around her, and the produce is displayed in various containers.",What is the woman selling at the market?,Fruits and vegetables,Clothes,Food,Flowers,A
TRAIN_105,./dataset/generated/images/scene_1100.jpg,A notebook with red writing and an orange cover. The writing appears to be in a foreign language.,What is the color of the notebook cover?,Orange,White,Black,Blue,A
TRAIN_106,./dataset/generated/images/scene_1101.jpg,A person is holding a smartphone with a screen displaying a foreign language. The phone is being held in front of a bush.,What is the person holding in their hand?,A book,A cell phone,A remote control,A cup,B
TRAIN_107,./dataset/generated/images/scene_1102.jpg,A group of young boys playing soccer on a field. One boy is running towards the soccer ball while the others are chasing him.,What is the main activity in the image?,Playing soccer,Running,Chasing,Playing with a ball,A
TRAIN_108,./dataset/generated/images/scene_1103.jpg,"A man and a woman are sitting on the beach, smiling and hugging each other. They are both wearing blue shirts.",What is the color of the man's shirt?,Blue,White,Red,Green,A
TRAIN_109,./dataset/generated/images/scene_1104.jpg,"A group of five people are standing together in a forest, smiling and posing for a picture. They are wearing backpacks and appear to be enjoying their time outdoors.",What is the group of people doing in the image?,Hiking,Camping,Taking a picture,All of the above,A
TRAIN_110,./dataset/generated/images/scene_1105.jpg,A man is holding a cell phone and looking at it. He is wearing a gray jacket and has a beard.,What is the man holding in his hand?,A book,A cell phone,A remote control,A cup,B
TRAIN_111,./dataset/generated/images/scene_1106.jpg,"A group of people are sitting around a wooden dining table, enjoying a meal together. They are engaged in conversation and sharing a pleasant dining experience.",What is the main activity in the image?,Eating,Drinking,Talking,All of the above,D
TRAIN_112,./dataset/generated/images/scene_1107.jpg,A young woman with long hair is sitting at a table with a bowl of fruit in front of her. She is smiling and appears to be enjoying her meal.,What is the woman's hair color?,Brown,Blonde,Red,Black,A
TRAIN_113,./dataset/generated/images/scene_1108.jpg,"A young boy and girl are sitting at a table, looking at a cell phone. They are smiling and seem to be enjoying their time together.",What is the boy and girl looking at?,A book,A cell phone,A computer,A TV,B
TRAIN_114,./dataset/generated/images/scene_1109.jpg,"Three women are sitting on a bench, smiling and posing for a picture. They are wearing pink shirts and are surrounded by trees.",What color are the women's shirts?,Pink,White,Green,Blue,A
TRAIN_115,./dataset/generated/images/scene_1110.jpg,"Two women are sitting outside, smiling and enjoying each other's company. One of them is holding a bowl of food.",What is the main focus of the image?,The bowl of food,The women's smiles,The outdoor setting,The food being held by the woman,A
TRAIN_116,./dataset/generated/images/scene_1111.jpg,"Two young girls are sitting next to each other, smiling and posing for a picture. They are both wearing white shirts.",What color are the girls' shirts?,White,Pink,Blue,Black,A
TRAIN_117,./dataset/generated/images/scene_1112.jpg,"A man and a woman are standing on a beach, holding hands and looking out at the ocean. They are surrounded by birds flying in the sky.",What is the man and woman doing on the beach?,Flying a kite,Building sandcastles,Holding hands and looking out at the ocean,Playing with a frisbee,C
TRAIN_118,./dataset/generated/images/scene_1113.jpg,"A group of people wearing backpacks and hiking gear are standing on a mountain top, posing for a picture. They are smiling and enjoying their time together.",What is the group of people doing in the image?,Hiking,Posing for a picture,Taking a break,All of the above,D
TRAIN_119,./dataset/generated/images/scene_1114.jpg,"A family of six, including adults and children, are walking on a beach. They are smiling and enjoying their time together.",What is the family doing on the beach?,Playing in the sand,Walking along the shore,Taking a photo,All of the above,D
TRAIN_120,./dataset/generated/images/scene_1115.jpg,"A man is taking a picture of a mountain range with a camera. The mountain range is covered in clouds, and the sun is setting.",What is the man taking a picture of?,A sunset,A mountain range,A cloudy sky,A sunrise,B
TRAIN_121,./dataset/generated/images/scene_1116.jpg,"A group of young women are standing on a street corner, smiling and drinking from cups. They are wearing shorts and holding cups in their hands.",What are the women drinking from?,Coffee cups,Tea cups,Soda cups,Beer cups,C
TRAIN_122,./dataset/generated/images/scene_1117.jpg,"A group of people are hiking through a forest, with some of them carrying backpacks. They are walking on a dirt path, and the sun is shining through the trees.",What is the group of people doing in the image?,Climbing a mountain,Hiking through the forest,Walking on a dirt path,All of the above,D
TRAIN_123,./dataset/generated/images/scene_1118.jpg,"A group of people are standing on the beach, holding surfboards. They are facing the ocean, and the sun is setting in the background.",What is the group of people standing on the beach holding?,Surfboards,Boogie boards,Kites,Surfboards,A
TRAIN_124,./dataset/generated/images/scene_1119.jpg,"A group of people are sitting around a fire pit in a field, enjoying a camping trip. They are gathered around a fire, and there are chairs and a dining table nearby.",What is the main activity of the people in the image?,Sitting around a fire,Eating,Drinking,Camping,A
TRAIN_125,./dataset/generated/images/scene_112.jpg,Two people are standing on a beach under a palm tree. They are looking at the ocean.,What is the main activity of the two people on the beach?,They are looking at the ocean.,They are playing with a ball.,They are flying a kite.,They are walking along the beach.,A
TRAIN_126,./dataset/generated/images/scene_1120.jpg,"A group of people are standing on a mountain top, wearing backpacks and hiking gear. They are posing for a picture in front of a beautiful sunset.",What is the group of people doing in the image?,Hiking,Taking a picture,Sitting,Resting,B
TRAIN_127,./dataset/generated/images/scene_1121.jpg,"A busy city street with tall buildings, cars, and traffic lights. The street is filled with traffic, including taxis and other vehicles.",What is the primary focus of the image?,The tall buildings,The traffic,The cars,The traffic lights,B
